Reference,Project name,"Country
(ISO-3)",Date online,Decomission date,Status,Technology,,,,Product,End use,,,,,,,,,,,,,,Announced Size,Normalised capacity,,,,"IEA zero-carbon estimated normalised capacity
[Nm³ H₂/hour]",Refs,"Geographical details
Decimal Degrees
(Lat. N is positive, Long. E is positive)",,,,,,,
1050,P2G Velke Kapusany,SVK,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,1,,,,,,,78MW,78,17333,13.5,,17333,[853],Velke Kapusany,48.54429936,22.07745485,,,,,
1052,"Element One (Element Eins), phase 3",DEU,2028,,Feasibility study,ALK,,Dedicated renewable,Others/Various,CH4,,,,,,,,,,,,,,,1.8 GWh H2/d production,232.817,50612,39.5,,50612,[382], East Frisia,53.52494208,7.630359539,,,,,
1053,"Green Hydrogen Hub, phase 1","DEU
DNK",2027,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,300MW,,,,,0,[853],Hobro,56.63923041,9.795671508,,,,,
1054,"Green Hydrogen Hub, phase 2","DEU
DNK",2031,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,1GW,,,,,0,[853],Hobro,56.63923041,9.795671508,,,,,
1057,Pegasus,ITA,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,CH4,,,,,,,,,,,,,1,,23MW,23,5111,4.0,,5111,[853] [855],,,,,,,,
1058,"Electrolyzers with ""network related function"" in Apulia - Phase 1",ITA,2026,,Concept,Other Electrolysis,Unknown PtX,Grid,,CH4,,,,,,,,,,,,,1,,90MW,90,20000,15.6,,20000,"[853], Data from Snam",Random location in Apulia,41.06687898,16.68257759,,,,,
1059,Hydrogen injection into the gas network in Lithuania,LTU,2025,,DEMO,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,1,,,,,,,1MW,1,222,0.2,,222,[853][1003],Random location Lithuania,55.41380634,23.51968018,,,,,
1060,Power to Gas Production with infrastructure building/enhacement in Latvia,LVA,,,Concept,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,,,,,,,,,,,,,,,0,[853],Random location Latvia,56.90636933,24.91494388,,,,,
1061,"G2F - Gas to Future, phase 1",SVK,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,1,,,,,,,84MW,84,18667,14.6,,18667,[853],,,,,,,,
1062,"G2F - Gas to Future, phase 2",SVK,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,1,,,,,,,332MW,248,55111,43.0,,55111,[853],Random location in Slovakia,48.8857681,19.36289159,,,,,
1063,Herten HRS,DEU,,,FID/Construction,PEM,,Dedicated renewable,Others/Various,H2,,,,,,1,,,,,,,,,0.44kt H2/y,2.9,564,0.4,,564,[856] [869],Herten,51.59623275,7.139411063,,,,,
1064,Vallée Hydrogène Grand Ouest (VHyGO) - Saint-Nazaire,FRA,2023,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,1,,,,,,,,,1.5MW,1.5,333,0.3,,333,[857] [858] [1628],"Saint-Nazaire, Loire-Atlantique, Pays de la Loire, France",47.27377389,-2.21032493,,,,,
1065,Vallée Hydrogène Grand Ouest (VHyGO) - Dieppe,FRA,2027,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1,,,,,,,,,0.5 MW,0.5,111,0.1,,111,[857] [858],"Dieppe, Seine-Maritime, Normandie, France",49.96313092,1.089687683,,,,,
1066,NEL-Lhyfe Agreement,FRA,2027,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,,,,,,,1,,,,,,,,,60MW,,,,,0,,,,,,,,,
1067,McDermott - CB&I 2nd project,USA,,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,1,,,,,,,50MW,50,11111,8.7,,11111,[761] [859],,,,,,,,
1069,HYBAYERN,DEU,2024,,Operational,PEM,,Dedicated renewable,Unknown,H2,,,,,,1,,,,,,,,,1.18t H2/d - 5MW,5,962,0.7,,962,[867][2866],Random location in Germany,52.00243341,12.17600604,,,,,
1071,Norddeutsches Reallabor - Living Lab Northern Germany,DEU,2026,,Feasibility study,PEM,,Dedicated renewable,Unknown,H2,1,1,,,1,1,,,,,,,,,10t H2/d production,48.689,9363,7.3,,9363,[3102],Aproximate location from project webpage,54.27535825,9.244366247,,,,,
1076,Pertamina Ulubelu geothermal plant,IDN,2025,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,1,,,,,,,,,,1,,,,100 kg H2/d - 0.5MW,0.5,111,0.1,,111,[878] [879] [1332] [1636],Ulubelu geothermal plant,-5.306544,104.577194,,,,,
1077,P2X Harjavalta project,FIN,2025,,Operational,ALK,,Dedicated renewable,Unknown,CH4,,,,,1,,,,,,,,1,,20MW,20,4348,3.4,,4348,[881][1228][1475] [1614][2916],Harjavalta Industrial Park,61.31892106,22.12563319,,,,,
1078,Ercros - Sabinanigo,ESP,,,Feasibility study,ALK,,Dedicated renewable,Unknown,H2,,1,,,,,,,,,,,,,0.9MW,0.9,196,0.2,,196,[1644][2386],Sabiñánigo,42.51887539,-0.372457215,,,,,
1079,OMNI CT - California,USA,,,Feasibility study,Biomass,Waste gasification,,,H2,,,,,,,,,,,,,,,5kt H2/y,,6413,5.0,,6413,[886],Random location in California,37.06172514,-120.6982696,,,,,
1080,Djeva,CHE,2010,,Operational,ALK,,Other/Unknown,,H2,,,,,1,,,,,,,,,,7MW or 600 t H2/y,7,1521.73913,1.2,,1522,[887],Monthey,46.2520182,6.960776304,,,,,
1081,Sapio - Mantova,ITA,2016,,Operational,NG w CCUS,SMR+CCUS,,,H2,,,,,,,,,,,,,,,1500 Nm3 H2/h,,1500,1.2,,0,,Mantova,45.15573304,10.78972903,,,,,
1082,Woikoski Kokkola H2 plant,FIN,2014,,Operational,ALK,,Other/unknown,,H2,,,,,,,,,,,,,,,9MW,9,1957,1.5,,1957,[888],Kokkola,63.8413308,23.12696039,,,,,
1083,HyEnergy Zero Carbon Hydrogen,AUS,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,12000MW,12000,2666667,2079.0,,2666667,[889][890][1202][1468][2907],"Carnarvon, Western Australia",-24.67763139,113.6138749,,,,,
1084,Yellow Sea,CHN,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,2000MW,2000,444444,346.5,,444444,[889],Qingdao,36.07353232,120.394282,,,,,
1085,HNH,CHL,2029,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,Ammonia,,1,,,,,,,,,,,,,1.3 GW,1300,288889,225.2,,288889,[889][891][1220] [2713][3070],Random location in Magallanes,-52.02782333,-72.3950138,,,,,
1086,Rostock - RWE - (HyTechHafen-Rostock),DEU,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,1,,,,,,,,,,,,,100MW,100,22222,17.3,,22222,[889][945][1988],Port of Rostock,54.14507287,12.10939724,,,,,
1087,CRS4-Italgas Sardinia,ITA,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,CH4,,,,,,,,,,,,,1,,,,,,,0,[893],Random location in Sardinia,40.13250071,9.029131993,,,,,
1090,"BP Castellon refinery, phase 1 (HyVal)",ESP,2026,,FID/Construction,PEM,,Grid+Renewables,Others/Various,H2,1,,,,,,,,,,,,,,25 MW,25,4808,3.7,,4808,[895] [2603] [2604],BP oil refinery Castellon,39.95800423,-0.004072311,,,,,
1091,SmartQuart project - Kaisersesch ,DEU,2025,,FID/Construction,PEM,,Other/Unknown,,H2,,,,,,,,,,,,,,,1MW,1,192,0.1,,192,[896] [1343] [1688][2268],Kaisersesch,50.2307994,7.1404855,,,,,
1093,"Canary Islands Hub, phase 1",ESP,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1,1,1,,,,,,,,1kt H2/y,5.8,1283,1.0,,1283,[900],,,,,,,,
1094,"Canary Islands Hub, phase 2",ESP,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1,1,1,,,,,,,,,,,,,0,[900],,,,,,,,
1095,ATCO Heartland Hydrogen Hub - Heartland hydrogen hub (ALB),CAN,,,Feasibility study,NG w CCUS,SMR+CCUS,,,H2,,1,,,1,1,,1,,,,,,,300 kt H2/y,,384793,300.0,,0,[901] 2024 ref [3059],Fort Saskatchewan,53.712776,-113.213333,,,,,
1096,Donghae 1 offshore wind plant,KOR,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,1,,,,,,,,,100MW,100,22222,17.3,,22222,[904] [2402],Ulsan,35.51663948,129.4444447,,,,,
1097,Turquoise Hydrogen,AUS,,,FID/Construction,Other,Methane pyrolysis,,,H2,,,,,1,1,,,,,,,,,150 kg H2/d,,70,0.1,,70,[906][907][2234],Gladstone,-27.47538961,152.9986896,,,,,
1100,BayoTech - St Louis Hub,USA,2023,,Operational,NG w CCUS,Unknown technology,,,H2,,,,,,,,,,,,,,,350t H2/y,,449,0.4,,0,[908][1652] [2201],"St Louis, Missouri",38.6260157,-90.19539681,,,,,
1108,Roadrunner,USA,2027,,FID/Construction,PEM,,Dedicated renewable,Solar PV,Synfuels,,,,,,,,,,,,1,,,14 kt synfuels/y capacity - 100MW,100,19231,15.0,,19231,[2335][3188],"Reeves County, TX",31.22375042,-103.7825423,,,,,
1109,"Green Energy Oman (GEO), phase 1 (former Oman-Al Wusta green H2 project)",OMN,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Ammonia,,,,,,,,,,,,,,,150 kt H2/y production,1731.6,384793,300.0,,384793,[913] [928][980]]3077],Al Wusta,19.68668404,56.86378032,,,,,
1110,Plug Power - Fort Worth,USA,2028,,Feasibility study,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,,,,,,,,,,120MW,120.0,23077,18.0,,23077,[914][1663] [2229][3015],"Fort Worth, Texas",32.76328925,-97.34013071,,,,,
1113,HyDeal LA,USA,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,,,,,,0,[917],,,,,,,,
1114,Energiepark Eemshaven West (phase I),NLD,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1,1,,,,,,,,,10MW,10,2222,1.7,,2222,[920] [1662],Port of Eems,53.43912043,6.836530401,,,,,
1115,Energiepark Eemshaven West (phase II),NLD,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1,1,,,,,,,,,100MW,100,22222,17.3,,22222,[920] [1662],Port of Eems,53.43912043,6.836530401,,,,,
1116,ELYgator,NLD,2027,,FID/Construction,Other Electrolysis,PEM+ALK,Dedicated renewable,Offshore wind,H2,1,,,,1,1,,,,,,,,,200MW,200,44444,34.7,,44444,[920] [1437] [1662][3287],Maasvlakte,51.98329224,4.005398824,,,,,
1118,Zeeland Refinery - H2ero,NLD,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,1,,,,,,,,,,,,,,150MW,150,33333,26.0,,33333,[920]2025 ref [3091],Zeeland Refinery ,51.41895364,3.727398275,,,,,
1119,FUREC,NLD,2027,,Feasibility study,Biomass,,,,H2,,,,,,,,,,,,,,,54 kt H2/y,,69263,54.0,,69263,[920],Chemelot,50.98229949,5.831535016,,,,,
1120,BrigH2,NLD,2027,,Feasibility study,Biomass,,,,H2,,,,,,,,,,,,,,,50MW H2,,16854,13.1,,16854,[920] [1662],,,,,,,,
1121,Hydrogen Wind Turbine in Wieringerwerf,NLD,2025,,FID/Construction,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,,,,,,,,,,5 MW,5,962,0.7,,962,[920] [1662] [2316],Wieringermeer,52.83244411,4.93873371,,,,,
1122,H2-gateway,NLD,2030,,Feasibility study,NG w CCUS,Unknown Technology,,,H2,,,,,,,,,,,,,,,0.2Mt H2/y - 1.8 Mt CO2,,257,0.2,1800000,225678,[920] [1662] [2435][3060],,,,,,,,
1123,Sinopec Star Corp Ordos Green Power-to-Gas Demonstration (or: Uxin Banner Wind-Solar Integrated Green Hydrogen Petrochemical Refinery Demo) Phase 1,CHN,2026,,FID/Construction,ALK,,Dedicated renewable,Others/Various,H2,,,,,1,,,,,,,,,,10kt H2/y capacity,59.0,12826,10.0,,12826,[922] [972] [1302][1653][1857],Ordos,39.67405784,109.7247561,,,,,
1124,Sinopec - Kuqa,CHN,2023,,Operational,ALK,,Dedicated renewable,Solar PV,H2,1,,,,,,,,,,,,,,260MW,260,56522,44.1,,56522,[922][972][1148][1876][1990],Kuqa,41.82754999,83.39490166,,,,,
1125,Pecos County Ultra Clean Fuels Refining (TX),USA,,,Feasibility study,NG w CCUS,Unknown technology,N/A,N/A,H2,1,,,,,,,,,,,,,,,,,,,0,[923],"Pecos, Texas",31.39098157,-103.5359583,,,,,
1126,GreenHyScale,DNK,2026,,Feasibility study,ALK,,Other/Unknown,,H2,,,,,1,1,,,,,,,,,100MW,100,21739,16.9,,21739,[924][1101][1231],Skive,56.56530195,9.02965887,,,,,
1127,EI-H2 - Aghada (phase 1),IRL,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,1,,,,1,1,,,,,,,,,50MW,50,11111,8.7,,11111,[925][981],Aghada,51.84045272,-8.218320265,,,,,
1128,Green lab skive (Phase II),DNK,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,MeOH,,,1,,,,,,,,,,,,24MW,18,4000,3.1,,4000,[641][924][926][1249],Skive,56.56530195,9.02965887,,,,,
1129,Khalifa Industrial Zone Abu Dhabi (KIZAD) Helios Industry- phase 1,ARE,,,Feasibility study,ALK,,Dedicated renewable,Solar PV,Ammonia,,1,,,,,,,,,,,,,35kt NH3/y production,124.0,26946,21.0,,26946,[927],Abu Dhabi,24.48524216,54.39272804,,,,,
1130,"HySynergy, phase 3",DNK,2030,,Feasibility study,ALK,,Dedicated renewable,Unknown,H2,1,,,,,1,,,,,,,,,1000W,700,152174,118.6,,152174,[288] [331],Fredericia refinery,55.59138504,9.752643675,,,,,
1134,Kapuni Green Hydrogen Project - Taranaki,NZL,2026,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,1,,,,1,,,,,,,,,2t H2/d,4.2,936,0.7,,936,[932],Taranaki,-39.32205121,174.4101175,,,,,
1137,Horizon H2 capture tailings CCS (ALB),CAN,2017,,Operational,NG w CCUS,SMR+CCUS,,,H2,1,,,,,,,,,,,,,,438000t CO2/y,,,,438000,54915,[933-934],"Horizon Oil Sands, Alberta",57.35139666,-111.6850144,,,,,
1139,Hyundai Oilbank - Blue H2 Ecosystem,KOR,,,Feasibility study,NG w CCUS,Unknown Technology,,,H2,,,,,,,1,,,,,,,,100kt H2/y,,128264,100.0,,0,[937],,,,,,,,
1140,Forestal del Atlántico - Triskelion,ESP,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,MeOH,,,,,,,,,,,,1,,,40 kt MeOH/y production,88.345,19632,15.3,,19632,[938] [2490],Forestal del Atlántico,43.46907065,-8.214771433,,,,,
1141,SoHyCal,USA,2023,,Operational,PEM,,Dedicated renewable,Solar PV,H2,,,,,,1,,,,,,,,,7.5MW,7.5,1442,1.1,,1442,[939][940][2192],"Fresno, CA",36.73162032,-119.7740255,,,,,
1142,Bee’ah waste-to-hydrogen,ARE,,,Concept,Biomass,Waste gasification,,,H2,,,,,,1,,,,,,,,,20 tH2/d,,9363,7.3,,9363,[941] [2764],Abu Dhabi,24.48524216,54.39272804,,,,,
1143,Industrial Cachimayo,PER,1965,,Operational,ALK,,Dedicated renewable,Hydropower,Ammonia,,1,,,,,,,,,,,,,25MW or 50t NH3/d,25,5435,4.2,,5435,[942],Industrial Cachimayo,-13.37649265,-72.07907968,,,,,
1144,Dos Bocas refinery,MEX,,,Concept,NG w CCUS,Unknown technology,,,H2,1,,,,,,,,,,,,,,,,,,,0,,Dos Bocas refinery,18.41896827,-93.20383473,,,,,
1145,Sirea - Castres site,FRA,2021,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1,,,,,,,,,0.43MW,0.43,96,0.1,,96,[943],"Castres, Tarn, Occitanie, France",43.60769064,2.24104035,,,,,
1146,Rostock - RWE (future phases),DEU,,,Concept,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,,,,,,,,,,1000MW,900,200000,155.9,,200000,[889][945][1998],Port of Rostock,54.14507287,12.10939724,,,,,
1147,Hy4Chem - BASF Ludwigshafen,DEU,2025,,Operational,PEM,,Dedicated renewable,Unknown,H2,,,,,1,1,,,,,,,,,54MW,54,10385,8.1,,10385,[945][2223][3013][3052],Ludwigshafen,47.81692921,9.057313619,,,,,
1148,Davis-Besse Nuclear Power Station,USA,2021,,DEMO,PEM,,Nuclear,,H2,,,,,,,,,,,,,,,2MW,2,385,0.3,,385,,"Oak Harbor, OH",41.595232,-83.089336,,,,,
1149,Prairie Island,USA,2021,,DEMO,SOEC,,Nuclear,,H2,,,,,,,,,,,,,,,200kW,0.2,53,0.0,,53,,Prairie Island nuclear plant,44.62242749,-92.64020902,,,,,
1151,Bruce Nuclear Clean Energy Frontier Hydrogen Hub,CAN,,,Feasibility study,ALK,,Nuclear,,H2,,,,,1,1,1,,,,,,,,,3,652,0.5,,652,,Bruce Nuclear Generating Station,44.31856386,-81.57397598,,,,,
1155,Kola Nuclear Power Plant demo,RUS,2022,,Operational,PEM,,Nuclear,,H2,,,,,,,,,,,,,,,1MW,1,192,0.1,,192,[1598-1599],Kola Nuclear Power Plant,67.46500889,32.48146993,,,,,
1156,Hydrogen Lab Bremerhaven (phase 1),DEU,2023,,Operational,PEM,ME450,Dedicated renewable,Onshore wind,H2,,,,,,,,,,,,1,,,1MW,1,192,0.1,,192,[948][949] [2215],Bremerhaven,53.53951134,8.591532904,,,,,
1157,Hydrogen Lab Bremerhaven (phase 2),DEU,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,,,,,,,1,,,10MW,9,2000,1.6,,2000,[948][949],Bremerhaven,53.53951134,8.591532904,,,,,
1158,Hydrogen Lab Leuna (phase 1),DEU,2021,,Operational,SOEC,,Dedicated renewable,Onshore wind,MeOH,,,1,,,,,,,,,,,,1MW,1,263,0.2,,263,[948][949],Leuna,51.32471117,12.02431106,,,,,
1159,Hydrogen Lab Leuna (phase 2),DEU,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,Synfuels,,,,,,,,,,,,1,,,5MW,4,889,0.7,,889,[948][949],Leuna,51.32471117,12.02431106,,,,,
1160,Hydrogen Lab Gorlitz,DEU,2023,,DEMO,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1,,,,,,,,,2 MW,2,444,0.3,,444,[948][949][950],Gorlitz,51.13242117,14.96321633,,,,,
1161,Hydrogen Eagle (various hubs),POL,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,1,,,,,,,,,100MW,,,,,0,[951],,,,,,,,
1162,Hydrogen Eagle (various hubs),POL,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,1,,,,,,,,,10MW,,,,,0,[951],,,,,,,,
1163,Hydrogen Eagle (various hubs),POL,2030,,Feasibility study,Biomass,Waste gasification,,,H2,,,,,,1,,,,,,,,,15kt H2/y,,,,,0,[951],,,,,,,,
1164,Hydrogen Eagle (Litvínov),CZE,2028,,Feasibility study,PEM,,Dedicated renewable,Onshore wind,H2,1,,,,,1,,,,,,,,,30MW,30,5769,4.5,,5769,[951],Litvínov,50.57883081,13.60789487,,,,,
1165,Hydrogen Eagle (Spolana),CZE,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,1,,,,,,,,,18MW,18,4000,3.1,,4000,[951],"Spolana, s.r.o.",50.27041613,14.51319438,,,,,
1166,"Hydrogen Eagle (Spolana), phase 1",CZE,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1,,,,,,,,,6MW,6,1333,1.0,,1333,[951],"Spolana, s.r.o.",50.27041613,14.51319438,,,,,
1167,Hydrogen Eagle (various hubs),SVK,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,1,,,,,,,,,60MW,60,13333,10.4,,13333,[951],Random location in Slovakia,48.253797,17.459326,,,,,
1169,GreenH2Atlantic,PRT,2028,,Feasibility study,PEM,,Grid+Renewables,,H2,1,,,,,,,,,,,,,,100 MW,100,19231,15.0,,19231,[952] [2117],Sines refinery,37.96403252,-8.810157888,,,,,
1170,Porto do Acu Fortescue Ammonia Project,BRA,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,1,,1,,,,,,,,1,,,300MW,300,66667,52.0,,66667,[955] [956],Port of Açu/Rio de Janeiro State,-21.83434976,-41.04132684,,,,,
1171,Hoasis (TCP Gecomp),CHL,2030,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,Ammonia,,1,,,,,,,,,,,,,2100MW or 102 kt H2/y production,2100,466667,363.8,,466667,[959],Random location in Antofagasta,-23.39908036,-69.25218282,,,,,
1172,Ecopetrol Green Hydrogen Pilot ,COL,2022,,DEMO,PEM,,Dedicated renewable,Solar PV,H2,,,,,1,,,,,,,,,,50kW,0.05,10,0.0,,10,[960][1299],"Mamonal, Provincia de Cartagena, Bolívar",10.33779801,-75.49612978,,,,,
1174,METH2 Atacama,CHL,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,MeOH,,,1,,1,,,,,,,,,,300 MW,300,66667,52.0,,66667,,Random location in Antofagasta,-23.39908036,-69.25218282,,,,,
1175,Villa Lisa ,PRY,,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1,,,,,,,,,200kgH2/day,0.4,94,0.1,,94,[962][963][964],Villa Lisa ,-25.37468049,-57.58885117,,,,,
1176,Ciudad del Este ,PRY,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1,,,,,,,,,,,,,,0,[963],Ciudad del Este ,-25.48005734,-54.65073031,,,,,
1177,Encarnacion ,PRY,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1,,,,,,,,,,,,,,0,[963],Encarnacion ,-27.25124394,-55.89586575,,,,,
1178,TA’ZIZ blue ammonia,ARE,2030,,Feasibility study,NG w CCUS,Unknown technology,,,Ammonia,,1,,,,,,,,,,,,,1000 kt NH3/y,,230968,180.1,,0,[965][3117],Abu Dahbi,24.48524216,54.39272804,,,,,
1180,BHP Nickel West Green Hydrogen ,AUS,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1,,,,,,,,,,10MW,10,2222,1.7,,2222,[967],BHP Nickel West,-27.81834985,120.7006064,,,,,
1181,Dawson Mine,AUS,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1,,,,,,,,,10MW,10,2222,1.7,,2222,[967],Dawson Mine,-24.63083226,150.0624416,,,,,
1182,"Camden County (GA), green power plant",USA,2024,,Operational,PEM,,Grid,,H2,,,,,,1,,,,,,,,,40 Mwel -15 t H2/d production,40,7692,6.0,,7692,[971] [2229] [2286],"Camden County,Georgia, USA",30.95768278,-81.64722855,,,,,
1183,Pego coal plant transition,PRT,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,0.5MW or 1.5t H2/y,0.5,111,0.1,,111,[973],Pego coal plant ,39.46428751,-8.11183461,,,,,
1184,Sealhyfe,FRA,2023,2023,DEMO,PEM,,Dedicated renewable,Offshore wind,H2,,,,,,,,,,,,,,,"1MW, 400 kg H2/d",1,192,0.1,,192,"[974],[1584]","Le Croisic, Loire-Atlantique, Pays de la Loire, France",47.29447627,-2.511819652,,,,,
1185,Rajasthan pilot plant,IND,2021,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,Ammonia,,1,,,,,,,,,,,,,5t NH3/day - 2.1MW,2.1,467,0.4,,467,[975][1196],Random location in Rajasthan,28.33215605,73.28154584,,,,,
1186,OCP Group demo project,MAR,,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Ammonia,,1,,,,,,,,,,,,,4t NH3/day production,,,,,0,[976][994][1126],Jorf Lasfar,33.12983107,-8.622006959,,,,,
1187,Hofors rolling project,SWE,2023,,Operational,ALK,,Grid,,H2,,,,1,,,,,,,,,,,17MW,17,3696,2.9,,3696,[978][1118] [1677] [1999] [2081],Ovako Hofors  plant,60.55783959,16.29933502,,,,,
1188,Hyrasia one,KAZ,2032,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Ammonia,,1,,,,,,,,,,,,,20GW,20000,4444444,3465.1,,4444444,[980][990] [1088][1484][1804] [2142] [2196],Karakiya district ,42.79816358,53.59887962,,,,,
1190,"Green Hydrogen Oman (GEO), phase 2 (former Oman-Al Wusta green H2 project)",OMN,2038,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Ammonia,,,,,,,,,,,,,,,14GW,9333,2074000,1617.0,,2074000,[913] [928][980][3159],Al Wusta,19.68668404,56.86378032,,,,,
1191,AquaVentus (completion),DEU,2035,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,,,,,,,,,,10GW,5000,1111111,866.3,,1111111,[677] [980],Heligoland,54.20234361,7.921268609,,,,,
1192,EI-H2 - Aghada (phase 2),IRL,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,1,,,,1,1,,,,,,,,,2.7GW,2650,588889,459.1,,588889,[981],Aghada,51.84045272,-8.218320265,,,,,
1193,EI-H2 - Aghada (phase 3),IRL,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,Ammonia,,1,,,,,,,,,,,,,500MW,500,111111,86.6,,111111,[981],Aghada,51.84045272,-8.218320265,,,,,
1195,New Jersey Offshore Wind plant,USA,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,,,,,,,,,,5-10MW,7.5,1667,1.3,,1667,[984],New Jersey,40.2042419,-74.15376049,,,,,
1196,Delicias Solar,MEX,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,35MW,35,7778,6.1,,7778,[985],Guanajuato,21.257528,-100.588878,,,,,
1197,Pico Truncado,ARG,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,,,,,,0,[986],,,,,,,,
1198,Dhamma Energy Guanajuato ,MEX,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,12.6 kt H2/y production,242.4,53871,42,,53871,[3314],Guanajuato,21.01949831,-101.2566787,,,,,
1199,"Mexican Green Hydrogen Hub, phase 1",MEX,2028,,Feasibility study,PEM,,Dedicated renewable,Solar PV,Ammonia,,1,,,,,,,,,,,,,1 Mt urea/y capacity,680.6,130882,102.0,,130882,[987][1817],Durango,24.05111224,-104.5229752,,,,,
